file,method,precision,recall,recall_w,f2,f2_w
../external/rtt/dataset/real_trace_labelled/11119.csv,HDP-HMM,0.6666666666666666,0.8484848484848485,0.9546721863797797,0.8045977011494253,0.8787469912098607
../external/rtt/dataset/real_trace_labelled/11119.csv,cpt_np&MBIC,0.6756756756756757,0.7575757575757576,0.729150971214195,0.7396449704142011,0.7177893085727414
../external/rtt/dataset/real_trace_labelled/11119.csv,cpt_poisson&MBIC,0.6,0.5454545454545454,0.684655151504226,0.5555555555555555,0.6658655031539152
../external/rtt/dataset/real_trace_labelled/11119.csv,DPMM,0.24427480916030533,0.9696969696969697,0.9979961714573772,0.6083650190114069,0.6171482231335738
../external/rtt/dataset/real_trace_labelled/11134.csv,HDP-HMM,0.38461538461538464,0.7142857142857143,0.9754975197468884,0.6097560975609756,0.7462161178077884
../external/rtt/dataset/real_trace_labelled/11134.csv,cpt_np&MBIC,0.6666666666666666,0.6666666666666666,0.9038073680367461,0.6666666666666667,0.8437790605693085
../external/rtt/dataset/real_trace_labelled/11134.csv,cpt_poisson&MBIC,0.5142857142857142,0.8571428571428571,0.9916845382315121,0.7563025210084033,0.8364022047693969
../external/rtt/dataset/real_trace_labelled/11134.csv,DPMM,0.011421319796954314,0.8571428571428571,0.9882907408535365,0.05421686746987951,0.054583396446687894
../external/rtt/dataset/real_trace_labelled/11145.csv,HDP-HMM,0.15584415584415584,0.8,0.671140999162591,0.437956204379562,0.4039860124180305
../external/rtt/dataset/real_trace_labelled/11145.csv,cpt_np&MBIC,0.23076923076923078,1.0,1.0,0.6000000000000001,0.6000000000000001
../external/rtt/dataset/real_trace_labelled/11145.csv,cpt_poisson&MBIC,0.4230769230769231,0.7333333333333333,0.8045507660762148,0.6395348837209303,0.681630273089292
../external/rtt/dataset/real_trace_labelled/11145.csv,DPMM,0.049019607843137254,1.0,1.0,0.20491803278688525,0.20491803278688525
../external/rtt/dataset/real_trace_labelled/11148.csv,HDP-HMM,0.7,1.0,1.0,0.9210526315789475,0.9210526315789475
../external/rtt/dataset/real_trace_labelled/11148.csv,cpt_np&MBIC,0.2608695652173913,0.8571428571428571,0.9055957675639131,0.5882352941176471,0.6060374585591854
../external/rtt/dataset/real_trace_labelled/11148.csv,cpt_poisson&MBIC,0.8571428571428571,0.8571428571428571,0.9591455382490867,0.8571428571428571,0.9368479704678677
../external/rtt/dataset/real_trace_labelled/11148.csv,DPMM,0.0782122905027933,1.0,1.0,0.2978723404255319,0.2978723404255319
../external/rtt/dataset/real_trace_labelled/11150.csv,HDP-HMM,0.36,1.0,1.0,0.7377049180327868,0.7377049180327868
../external/rtt/dataset/real_trace_labelled/11150.csv,cpt_np&MBIC,0.18,1.0,1.0,0.5232558139534883,0.5232558139534883
../external/rtt/dataset/real_trace_labelled/11150.csv,cpt_poisson&MBIC,0.2631578947368421,0.5555555555555556,0.8083008821937907,0.4545454545454545,0.5715165996449219
../external/rtt/dataset/real_trace_labelled/11150.csv,DPMM,0.031818181818181815,0.7777777777777778,0.9568431500667524,0.13671874999999997,0.1404139998162402
../external/rtt/dataset/real_trace_labelled/11158.csv,HDP-HMM,0.2857142857142857,0.9230769230769231,0.9335649318505815,0.6382978723404256,0.6422895444057053
../external/rtt/dataset/real_trace_labelled/11158.csv,cpt_np&MBIC,0.4482758620689655,1.0,1.0,0.802469135802469,0.802469135802469
../external/rtt/dataset/real_trace_labelled/11158.csv,cpt_poisson&MBIC,0.4074074074074074,0.8461538461538461,0.8399465352630545,0.6962025316455696,0.6928323271763233
../external/rtt/dataset/real_trace_labelled/11158.csv,DPMM,0.014311270125223614,0.6153846153846154,0.7817453353499613,0.06546644844517185,0.06667399562592634
../external/rtt/dataset/real_trace_labelled/11171.csv,HDP-HMM,0.5692307692307692,0.8043478260869565,0.8666476905595346,0.7429718875502008,0.7846531349830704
../external/rtt/dataset/real_trace_labelled/11171.csv,cpt_np&MBIC,0.2876712328767123,0.45652173913043476,0.5824656466163602,0.40856031128404663,0.483393113055143
../external/rtt/dataset/real_trace_labelled/11171.csv,cpt_poisson&MBIC,0.43037974683544306,0.7391304347826086,0.7871243803175819,0.6463878326996197,0.6751904154578221
../external/rtt/dataset/real_trace_labelled/11171.csv,DPMM,0.0800711743772242,0.9782608695652174,0.9756548155312952,0.3016085790884719,0.30141000440335364
../external/rtt/dataset/real_trace_labelled/11176.csv,HDP-HMM,0.5,0.9230769230769231,0.9274041696700188,0.7894736842105263,0.7920021595229172
../external/rtt/dataset/real_trace_labelled/11176.csv,cpt_np&MBIC,0.5,0.9230769230769231,0.9274041696700188,0.7894736842105263,0.7920021595229172
../external/rtt/dataset/real_trace_labelled/11176.csv,cpt_poisson&MBIC,0.5454545454545454,0.9230769230769231,0.9274041696700188,0.8108108108108106,0.8134780382912894
../external/rtt/dataset/real_trace_labelled/11176.csv,DPMM,0.020242914979757085,0.7692307692307693,0.9199105376748764,0.09157509157509157,0.09302628644960001
../external/rtt/dataset/real_trace_labelled/11180.csv,HDP-HMM,0.3888888888888889,0.7368421052631579,0.957630775690727,0.625,0.740915951384101
../external/rtt/dataset/real_trace_labelled/11180.csv,cpt_np&MBIC,0.25,0.7368421052631579,0.957630775690727,0.5303030303030303,0.6114730543051704
../external/rtt/dataset/real_trace_labelled/11180.csv,cpt_poisson&MBIC,0.41025641025641024,0.8421052631578947,0.9746844980673495,0.6956521739130435,0.7643632934196959
../external/rtt/dataset/real_trace_labelled/11180.csv,DPMM,0.11570247933884298,0.7368421052631579,0.8986118334529671,0.35532994923857875,0.38184940497681547
