file,method,precision,recall,recall_w,f2,f2_w
../external/rtt/dataset/real_trace_labelled/11119.csv,HDP-HMM,0.8064516129032258,0.8064516129032258,0.8511884411367966,0.8064516129032256,0.8418483580394995
../external/rtt/dataset/real_trace_labelled/11119.csv,cpt_np&MBIC,0.6486486486486487,0.7741935483870968,0.8638285757632261,0.7453416149068322,0.8100819517047861
../external/rtt/dataset/real_trace_labelled/11119.csv,cpt_poisson&MBIC,0.8,0.3870967741935484,0.6825677331904296,0.4316546762589928,0.7032126984989306
../external/rtt/dataset/real_trace_labelled/11134.csv,HDP-HMM,0.3225806451612903,0.5555555555555556,0.925722103173872,0.4854368932038835,0.6737680775625553
../external/rtt/dataset/real_trace_labelled/11134.csv,cpt_np&MBIC,0.45,0.5,0.7378581801201558,0.48913043478260876,0.6541661461917264
../external/rtt/dataset/real_trace_labelled/11134.csv,cpt_poisson&MBIC,0.45454545454545453,0.5555555555555556,0.9043877455290098,0.5319148936170214,0.7549583752719958
../external/rtt/dataset/real_trace_labelled/11145.csv,HDP-HMM,0.1694915254237288,0.7142857142857143,0.40153172892903066,0.43478260869565216,0.3152216860078001
../external/rtt/dataset/real_trace_labelled/11145.csv,cpt_np&MBIC,0.23333333333333334,1.0,1.0,0.603448275862069,0.603448275862069
../external/rtt/dataset/real_trace_labelled/11145.csv,cpt_poisson&MBIC,0.625,0.7142857142857143,0.8494799574914207,0.6944444444444444,0.7925483659704775
../external/rtt/dataset/real_trace_labelled/11148.csv,HDP-HMM,0.7777777777777778,1.0,1.0,0.945945945945946,0.945945945945946
../external/rtt/dataset/real_trace_labelled/11148.csv,cpt_np&MBIC,0.26666666666666666,0.8571428571428571,0.897982536915058,0.594059405940594,0.6094268875264236
../external/rtt/dataset/real_trace_labelled/11148.csv,cpt_poisson&MBIC,1.0,0.8571428571428571,0.9713830528971344,0.8823529411764707,0.9769746593264917
../external/rtt/dataset/real_trace_labelled/11150.csv,HDP-HMM,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334
../external/rtt/dataset/real_trace_labelled/11150.csv,cpt_np&MBIC,0.1836734693877551,1.0,1.0,0.5294117647058824,0.5294117647058824
../external/rtt/dataset/real_trace_labelled/11150.csv,cpt_poisson&MBIC,0.625,0.5555555555555556,0.6874923012967712,0.5681818181818182,0.6740136880262796
../external/rtt/dataset/real_trace_labelled/11158.csv,HDP-HMM,0.375,0.9230769230769231,0.9754181168785412,0.7142857142857142,0.738828304065855
../external/rtt/dataset/real_trace_labelled/11158.csv,cpt_np&MBIC,0.41935483870967744,1.0,1.0,0.7831325301204818,0.7831325301204818
../external/rtt/dataset/real_trace_labelled/11158.csv,cpt_poisson&MBIC,0.5789473684210527,0.8461538461538461,0.9171323695126198,0.7746478873239436,0.8211942595216778
../external/rtt/dataset/real_trace_labelled/11171.csv,HDP-HMM,0.546875,0.7608695652173914,0.8042465390140822,0.7056451612903226,0.7350594715959257
../external/rtt/dataset/real_trace_labelled/11171.csv,cpt_np&MBIC,0.2876712328767123,0.45652173913043476,0.5588127917146123,0.40856031128404663,0.4701801077479253
../external/rtt/dataset/real_trace_labelled/11171.csv,cpt_poisson&MBIC,0.44155844155844154,0.7391304347826086,0.7680251350674445,0.6513409961685822,0.6690870880318655
../external/rtt/dataset/real_trace_labelled/11176.csv,HDP-HMM,0.631578947368421,1.0,1.0,0.8955223880597015,0.8955223880597015
../external/rtt/dataset/real_trace_labelled/11176.csv,cpt_np&MBIC,0.55,0.9166666666666666,0.9769429470040507,0.8088235294117646,0.8456535572332751
../external/rtt/dataset/real_trace_labelled/11176.csv,cpt_poisson&MBIC,0.7333333333333333,0.9166666666666666,0.9769429470040507,0.873015873015873,0.9160795509584253
../external/rtt/dataset/real_trace_labelled/11180.csv,HDP-HMM,0.47368421052631576,0.6428571428571429,0.9078133596976385,0.6,0.7671884955298661
../external/rtt/dataset/real_trace_labelled/11180.csv,cpt_np&MBIC,0.12727272727272726,0.5,0.752034305039631,0.31531531531531526,0.3794764228508105
../external/rtt/dataset/real_trace_labelled/11180.csv,cpt_poisson&MBIC,0.4782608695652174,0.7857142857142857,0.9449187208690955,0.6962025316455697,0.7906291574620573
../external/rtt/dataset/real_trace_labelled/11185.csv,HDP-HMM,0.8125,0.7647058823529411,0.8577395451377069,0.7738095238095238,0.8482930487271482
../external/rtt/dataset/real_trace_labelled/11185.csv,cpt_np&MBIC,0.5185185185185185,0.8235294117647058,0.9185032384667362,0.7368421052631579,0.7957370666221322
../external/rtt/dataset/real_trace_labelled/11185.csv,cpt_poisson&MBIC,1.0,0.5882352941176471,0.7826667193455585,0.6410256410256411,0.8182325523329124
../external/rtt/dataset/real_trace_labelled/11241.csv,HDP-HMM,0.42857142857142855,1.0,1.0,0.7894736842105262,0.7894736842105262
../external/rtt/dataset/real_trace_labelled/11241.csv,cpt_np&MBIC,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334
../external/rtt/dataset/real_trace_labelled/11241.csv,cpt_poisson&MBIC,0.4,0.6666666666666666,0.8397058045776169,0.5882352941176471,0.6883664440213061
../external/rtt/dataset/real_trace_labelled/11244.csv,HDP-HMM,0.3076923076923077,1.0,1.0,0.6896551724137931,0.6896551724137931
../external/rtt/dataset/real_trace_labelled/11244.csv,cpt_np&MBIC,0.2,1.0,1.0,0.5555555555555556,0.5555555555555556
../external/rtt/dataset/real_trace_labelled/11244.csv,cpt_poisson&MBIC,0.7777777777777778,0.875,0.8520662408982013,0.8536585365853658,0.836094537920783
